ssssssssss,ffffffff,1,1,wwwwwwwwwwwwwww,qqqqqqqqqqqqqqq,dddddddddddddddddf,fffffffffffffffffffff,3,1
cccccccccccccccccccc,modulo,1,1,aaaaaaaaaaaaaaaaa,https://,aaaaaaaaaaaaaaaaaaaaaaaa,https://www.teste.com,3,1
cccccccccccccccccccc,modulo,1,1,aaaaaaaaaaaaaaaaa,https://,aaaaaaaaaaaaaaaaaaaaaaaa,https://www.teste.com,3,1
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,1,aaaaaaaaaaaaaaaaa,https://,aaaaaaaaaaaaaaaaaaaaaaaa,https://www.teste.com,3,1
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,1,aaaaaaaaaaaaaaaaa,https://,aaaaaaaaaaaaaaaaaaaaaaaa,https://www.teste.com,3,1
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
ggggggggggggggggg,jhhhhhhhhhhhhhhh,1,1,kkkkkkkkkkkkkkkkkkkkkk,https://,ssssssssssssssssssssssss,https://,44,1
ggggggggggggggggg,jhhhhhhhhhhhhhhh,1,1,kkkkkkkkkkkkkkkkkkkkkk,https://,ssssssssssssssssssssssss,https://,44,1
ggggggggggggggggg,jhhhhhhhhhhhhhhh,1,null,null,null,null,null,null,null
gggggggggggggggg,yyyyyyyyyyyyyyy,1,1,hhhhhhhhhh,https://,dddddddddddddddddddd,https://,6,1
gggggggggggggggg,yyyyyyyyyyyyyyy,1,1,hhhhhhhhhh,https://,dddddddddddddddddddd,https://,6,1
gggggggggggggggg,yyyyyyyyyyyyyyy,1,null,null,null,null,null,null,null
