ssssssssss,ffffffff,1,1,wwwwwwwwwwwwwww,qqqqqqqqqqqqqqq,dddddddddddddddddf,fffffffffffffffffffff,3,1
cccccccccccccccccccc,modulo,1,1,aaaaaaaaaaaaaaaaa,https://,aaaaaaaaaaaaaaaaaaaaaaaa,https://www.teste.com,3,1
cccccccccccccccccccc,modulo,1,1,aaaaaaaaaaaaaaaaa,https://,aaaaaaaaaaaaaaaaaaaaaaaa,https://www.teste.com,3,1
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,1,aaaaaaaaaaaaaaaaa,https://,aaaaaaaaaaaaaaaaaaaaaaaa,https://www.teste.com,3,1
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,1,aaaaaaaaaaaaaaaaa,https://,aaaaaaaaaaaaaaaaaaaaaaaa,https://www.teste.com,3,1
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
cccccccccccccccccccc,modulo,1,null,null,null,null,null,null,null
ggggggggggggggggg,jhhhhhhhhhhhhhhh,1,1,kkkkkkkkkkkkkkkkkkkkkk,https://,ssssssssssssssssssssssss,https://,44,1
ggggggggggggggggg,jhhhhhhhhhhhhhhh,1,1,kkkkkkkkkkkkkkkkkkkkkk,https://,ssssssssssssssssssssssss,https://,44,1
ggggggggggggggggg,jhhhhhhhhhhhhhhh,1,null,null,null,null,null,null,null
gggggggggggggggg,yyyyyyyyyyyyyyy,1,1,hhhhhhhhhh,https://,dddddddddddddddddddd,https://,6,1
gggggggggggggggg,yyyyyyyyyyyyyyy,1,1,hhhhhhhhhh,https://,dddddddddddddddddddd,https://,6,1
gggggggggggggggg,yyyyyyyyyyyyyyy,1,null,null,null,null,null,null,null
uuuuuuuuuuuuuu,nnnnnnnnn,1,1,hhhhhhhhhhh,http://,ssssssssss,http://,4,1
uuuuuuuuuuuuuu,nnnnnnnnn,1,1,hhhhhhhhhhh,http://,ssssssssss,http://,4,1
uuuuuuuuuuuuuu,nnnnnnnnn,1,null,null,null,null,null,null,null
ccccccccccccccccc,mmmmmmmmmmmm,1,1,kkkkkkkkkkkkkk,https://,sssssssssssssssssssssss,https://,4,1
dddddddddddddddd,ddddddddddddddd4,1,1,ffffffffffffffh,https://,ddddddddddddddddd3,https://,4,1
jjjjjjjjjjjj,kkkkkkkkkkkk,1,1,jjjjjjjjjjjjjjj,https://,dddddddddddddd,https://,3,1
jjjjjjjjjjjj,kkkkkkkkkkkk,1,null,null,null,null,null,null,null
jjjjjjjjjjjj,kkkkkkkkkkkk,1,1,jjjjjjjjjjjjjjj,https://,dddddddddddddd,https://,3,1
fffffffffffffff,ggggggggggggggg,1,1,eeeeeeeeeeeeee,https://,dddddddddddddddddd,https://,66,1
fffffffffffffff,ggggggggggggggg,1,1,eeeeeeeeeeeeee,https://,dddddddddddddddddd,https://,66,1
fffffffffffffff,ggggggggggggggg,1,null,null,null,null,null,null,null
ccccccccccccc,dddddddddddddd,1,1,ggggggggggggggg,https://,ffffffffffffffffffffff,https://,6,1
ggggggggggggg,hhhhhhhhhhh,1,1,hhhhhhhhhhhhhhh,https://,fffffffffffffff,https://,7,1
ggggggggggggg,hhhhhhhhhhh,1,null,null,null,null,null,null,null
ggggggggggggg,hhhhhhhhhhh,1,1,hhhhhhhhhhhhhhh,https://,fffffffffffffff,https://,7,1
gggggggggggg,ffffffffffffff,1,1,rrrrrrrrrrrr,https://,ddddddddddd,https://,8,1
jgggggggggggggggggg,uuuuuuuuuuuuuuu,1,1,ddddddddddddhttp,https://,            validatorAulas.setupInitialStateLessons(lessonsList, moduleNumber);
,https://,444444,1
jgggggggggggggggggg,uuuuuuuuuuuuuuu,1,1,ddddddddddddhttp,https://,            validatorAulas.setupInitialStateLessons(lessonsList, moduleNumber);
,https://,444444,1
jgggggggggggggggggg,uuuuuuuuuuuuuuu,1,null,null,null,null,null,null,null
fffffffffffffffffffffffffffff,fffffffffffff,1,1,rrrrrrrrrrrr,https://,dddddddddddddddddddddd,https://,3,1
fffffffffffffffffffffffffffff,fffffffffffff,1,1,rrrrrrrrrrrr,https://,dddddddddddddddddddddd,https://,3,1
fffffffffffffffffffffffffffff,fffffffffffff,1,null,null,null,null,null,null,null
